Go.	Va !
I didn't go out last Sunday.	Je ne suis pas sorti dimanche dernier.
I didn't hear what you said.	Je n'ai pas entendu ce que vous avez dit.
I didn't know what I'd find.	J'ignorais ce que je trouverais.
I didn't know you had a cat.	J'ignorais que tu avais un chat.
I didn't know you had a cat.	J'ignorais que vous aviez un chat.
I didn't mean to insult you.	Je ne voulais pas vous insulter.
I didn't mean to insult you.	Je ne voulais pas t'insulter.
I didn't mean to offend Tom.	Ce n'était pas mon intention d'offenser Tom.
I didn't mean to offend you.	Je n'avais pas l'intention de vous offenser.
I didn't mean to offend you.	Je n'avais pas l'intention de t'offenser.
I didn't need anyone's help.	Je n'avais besoin de l'aide de quiconque.
I didn't need anyone's help.	Je n'avais pas besoin de l'aide de qui que ce soit.
I didn't really want to win.	Je ne voulais pas vraiment gagner.
I didn't really want to win.	Je ne voulais pas vraiment l'emporter.
I didn't run away from home.	Je ne me suis pas enfui de chez moi.
I didn't run away from home.	Je ne me suis pas enfuie de chez moi.
I didn't say I wasn't going.	Je n'ai pas dit que je n'y allais pas.
I didn't say I wasn't going.	Je n'ai pas dit que je ne m'en allais pas.
I didn't say I wasn't going.	Je n'ai pas dit que je ne m'y rendais pas.
I didn't say you were crazy.	Je n'ai pas dit que vous étiez fou.
I didn't say you were crazy.	Je n'ai pas dit que vous étiez folle.
I didn't say you were crazy.	Je n'ai pas dit que vous étiez fous.
I didn't say you were crazy.	Je n'ai pas dit que vous étiez folles.
I didn't say you were crazy.	Je n'ai pas dit que tu étais folle.
I didn't say you were crazy.	Je n'ai pas dit que tu étais fou.
I didn't think we'd need it.	Je n'ai pas pensé que nous en aurions besoin.
I didn't try to kill myself.	Je n'ai pas tenté de me suicider.
I disagree with you on this.	Je ne suis pas d'accord avec toi là-dessus.
I disagree with you on this.	Je ne suis pas d'accord avec vous là-dessus.
I do like the way you think.	J'apprécie vraiment votre façon de penser.
I do not accept your excuse.	Je n’accepte pas vos excuses.
I do not feel like doing it.	Je n'ai pas le cœur à le faire.
I do not feel like doing it.	Je ne suis pas d'humeur à le faire.
I do not have any more time.	Je n'ai plus de temps.
I do not know if it is love.	J'ignore si c'est de l'amour.
I do not remember any of it.	Je ne m'en rappelle rien.
I do want to be your friend.	Je veux vraiment être votre ami.
I do want to be your friend.	Je veux vraiment être votre amie.
I do want to be your friend.	Je veux vraiment être ton ami.
I do want to be your friend.	Je veux vraiment être ton amie.
I don't believe any of this.	Je n'en crois pas un mot.
I don't believe any of this.	Je n'en crois rien.
I don't believe in religion.	Je ne crois pas à la religion.
I don't believe that either.	Je ne le crois pas non plus.
I don't believe that's true.	Je ne crois pas que ce soit vrai.
I don't believe you anymore.	Je ne te crois plus.
I don't believe you anymore.	Je ne vous crois plus.
I don't blame them for this.	Je ne les blâme pas pour ceci.
I don't blame them for this.	Je ne leur reproche pas ceci.
I don't care about politics.	Je me fiche de la politique.
I don't care about politics.	Je n'ai rien à faire de la politique.
I don't care what you think.	Je me fiche de ce que vous pensez.
I don't care what you think.	Je me fiche de ce que tu penses.
I don't care what you think.	Je n'ai cure de ce que vous pensez.
I don't care what you think.	Peu m'importe ce que vous pensez.
I don't care what you think.	Peu m'importe ce que tu penses.
I don't care what you think.	Je n'ai que faire de ce que vous pensez.
I don't even want you there.	Je ne veux même pas que tu sois là.
I don't even want you there.	Je ne veux même pas que vous soyez là.
I don't even want you there.	Je ne veux même pas que tu y sois.
I don't even want you there.	Je ne veux même pas que vous y soyez.
I don't feel like going out.	Je n'ai pas envie de sortir.
I don't feel very confident.	Je ne me sens pas très sûr de moi.
I don't feel very confident.	Je ne me sens pas très sûre de moi.
I don't give second chances.	Je ne donne pas de secondes chances.
I don't go to school by bus.	Je ne me rends pas à l'école en bus.
I don't go to school by bus.	Je ne vais pas à l'école en bus.
I don't have a single enemy.	Je n'ai pas un seul ennemi.
I don't have an appointment.	Je n'ai pas de rendez-vous.
I don't have any more ideas.	Je suis à court d'idées.
I don't have any objections.	Je n'ai aucune objection.
I don't have much money now.	Je n'ai pas beaucoup d'argent maintenant.
I don't have time right now.	Je n'ai pas le temps maintenant.
I don't have time right now.	Je n'ai pas le temps, là.
I don't have to talk to you.	Je n'ai pas à te parler.
I don't have to talk to you.	Je n'ai pas à vous parler.
I don't know either of them.	Je ne connais aucun des deux.
I don't know how old Tom is.	Je ne sais pas quel âge a Tom.
I don't know how they do it.	J'ignore comment ils le font.
I don't know how they do it.	J'ignore comment elles le font.
I don't know how this works.	Je ne sais pas comment cela fonctionne.
I don't know how this works.	J'ignore comment ceci fonctionne.
I don't know how to do that.	J'ignore comment le faire.
I don't know how to do that.	J'ignore comment faire ça.
I don't know how to do that.	Je ne sais pas comment faire ça.
I don't know how to do that.	Je ne sais pas comment le faire.
I don't know how to do this.	J'ignore comment faire ceci.
I don't know how to do this.	Je ne sais pas comment faire ceci.
I don't know how you did it.	Je ne sais pas comment vous l'avez fait.
I don't know how you did it.	Je ne sais pas comment tu l'as fait.
I don't know if I can do it.	Je ne sais pas si je peux le faire.
I don't know if I can do it.	J'ignore si je peux le faire.
I don't know if he knows it.	J'ignore s'il le sait.
I don't know what I owe you.	Je ne sais pas ce que je vous dois.
I don't know what I owe you.	Je ne sais pas ce que je te dois.
I don't know what I owe you.	J'ignore ce que je vous dois.
I don't know what I owe you.	J'ignore ce que je te dois.
I don't know what I'm doing.	Je ne sais pas ce que je suis en train de faire.
I don't know what I'm doing.	J'ignore ce que je fais.
I don't know what to answer.	Je ne sais pas quoi répondre.
I don't know what to do now.	Je ne sais pas quoi faire maintenant.
I don't know what to do now.	Je ne sais pas quoi faire, maintenant.
I don't know what to expect.	J'ignore à quoi m'attendre.
I don't know what'll happen.	J'ignore ce qu'il adviendra.
I don't know where he lives.	Je ne sais pas où il habite.
I don't know where he lives.	J'ignore où il habite.
I don't know where he lives.	Je ne sais pas où il réside.
I don't know where they are.	J'ignore où ils sont.
I don't know where to begin.	Je ne sais par où commencer.
I don't know where to start.	Je ne sais par où commencer.
I don't know who's involved.	J'ignore qui est impliqué.
I don't know who's involved.	Je ne sais pas qui est impliqué.
I don't know why I did that.	Je ne sais pas pourquoi j'ai fait cela.
I don't know why I did that.	J'ignore pourquoi j'ai fait cela.
I don't know why they do it.	Je ne sais pas pourquoi ils l'ont fait.
I don't know why they do it.	Je ne sais pas pourquoi elles l'ont fait.
I don't know why you did it.	J'ignore pourquoi vous l'avez fait.
I don't know why you did it.	J'ignore pourquoi tu l'as fait.
I don't know, nor do I care.	Je l'ignore, et je m'en fiche.
I don't like beer that much.	Je n'aime pas tant que ça la bière.
I don't like either of them.	Je n'aime aucun des deux.
I don't like either of them.	Je n'aime aucune des deux.
I don't like powdered sugar.	Je n'aime pas le sucre en poudre.
I don't like that idea much.	Cette idée ne me plait pas trop.
I don't like the look of it.	Ça ne me dit rien qui vaille.
I don't meet too many women.	Je ne rencontre pas trop de femmes.
I don't need a car that big.	Je n'ai pas besoin d'une si voiture grosse.
I don't need a loan anymore.	Je n'ai plus besoin d'un prêt.
I don't need an explanation.	Je n'ai pas besoin d'explication.
I don't need anyone anymore.	Je n'ai plus besoin de personne.
I don't need to talk to him.	Je n'ai pas besoin de lui parler.
I don't need to talk to you.	Je n'ai pas besoin de vous parler.
I don't need to talk to you.	Je n'ai pas besoin de te parler.
I don't play any instrument.	Je ne joue d'aucun instrument.
I don't really want to stop.	Je ne veux pas vraiment m'arrêter.
I don't recognize that name.	Je ne reconnais pas ce nom.
I don't recognize the sound.	Je n'en reconnais pas le son.
I don't remember doing that.	Je ne me rappelle pas avoir fait ça.
I don't remember you at all.	Je ne me rappelle pas du tout de vous.
I don't remember you at all.	Je ne me souviens pas du tout de vous.
I don't see your name on it.	Je n'y vois pas votre nom.
I don't see your name on it.	Je n'y vois pas ton nom.
I don't share your optimism.	Je ne partage pas votre optimisme.
I don't share your optimism.	Je ne partage pas ton optimisme.
I don't speak your language.	Je ne parle pas votre langue.
I don't take any medication.	Je ne prends aucun traitement.
I don't take needless risks.	Je ne prends pas de risques inutiles.
I don't talk to him anymore.	Je ne lui parle plus.
I don't think I can do that.	Je ne pense pas que je puisse faire cela.
I don't think I can do that.	Je ne pense pas que j'arrive à faire cela.
I don't think I can do that.	Je ne pense pas que je parvienne à faire cela.
I don't think I can do that.	Je ne pense pas pouvoir faire cela.
I don't think I can do that.	Je ne pense pas arriver à faire cela.
I don't think I can do that.	Je ne pense pas parvenir à faire cela.
I don't think I'll go today.	Je ne pense pas que j'irai aujourd'hui.
I don't think Tom would lie.	Je ne pense pas que Tom mentirait.
I don't think he is sincere.	Je ne pense pas qu'il soit sincère.
I don't think it'll be easy.	Je ne pense pas que ce sera facile.
I don't think they heard us.	Je ne pense pas qu'ils nous aient entendus.
I don't think they heard us.	Je ne pense pas qu'ils nous aient entendues.
I don't think they heard us.	Je ne pense pas qu'ils nous ont entendus.
I don't think they heard us.	Je ne pense pas qu'ils nous ont entendues.
I don't think this is funny.	Je ne trouve pas cela drôle.
I don't think this is funny.	Je ne pense pas que ce soit amusant.
I don't understand anything.	Je ne comprends rien.
I don't want Tom to help me.	Je ne veux pas que Tom m'aide.
I don't want Tom to help me.	Je n'ai pas envie que Tom m'aide.
I don't want either of them.	Je ne veux aucun d'eux.
I don't want to do it again.	Je ne veux pas le refaire.
I don't want to get married.	Je ne veux pas me marrier.
I don't want to get married.	Je ne veux pas me marier.
I don't want to go with you.	Je ne veux pas aller avec vous.
I don't want to go with you.	Je ne veux pas aller avec toi.
I don't want to hurt anyone.	Je ne veux faire de mal à personne.
I don't want to hurt anyone.	Je ne veux blesser personne.
I don't want to study today.	Aujourd'hui je n'ai pas envie d'étudier.
I don't want to talk to you.	Je ne veux pas te parler.
I don't want to talk to you.	Je ne veux pas vous parler.
I don't want you to do that.	Je ne veux pas que vous fassiez cela.
I don't want you to do that.	Je ne veux pas que tu fasses cela.
I don't want you to go back.	Je ne veux pas que vous retourniez.
I don't want you to go back.	Je ne veux pas que tu retournes.
I don't want you to go home.	Je ne veux pas que vous alliez chez vous.
I don't want you to go home.	Je ne veux pas que tu ailles chez toi.
I don't want your apologies.	Je ne veux pas de vos excuses.
I don't want your apologies.	Je ne veux pas de tes excuses.
I dream of seeing him there.	Je rêve de le voir ici.
I eat meat almost every day.	Je mange de la viande presque tous les jours.
I enlisted in the Air Force.	Je me suis engagé dans l'armée de l'air.
I exchanged stamps with him.	J'ai échangé des timbres avec lui.
I expect you to work harder.	J'attends de toi que tu travailles plus dur.
I explained the rule to him.	Je lui ai expliqué les règles.
I explained the rule to him.	Je lui expliquai la règle.
I feel a little responsible.	Je me sens quelque peu responsable.
I feel a little responsible.	Je me sens un peu responsable.
I feel good after a workout.	Je me sens bien après la gym.
I feel good after a workout.	Je me sens bien après une séance de gym.
I feel like a million bucks.	Je pète la forme.
I feel like going on a trip.	J'ai envie de partir en voyage.
I feel like going out today.	J'ai envie de sortir, aujourd'hui.
I fell asleep while reading.	Je me suis endormi en lisant.
I felt bad about what I did.	Je me suis sentie mal au sujet de ce que j'avais fait.
I felt bad about what I did.	Je me suis senti mal au sujet de ce que j'avais fait.
I felt bad about what I did.	Je me sentis mal au sujet de ce que j'avais fait.
I felt exactly the same way.	J'ai ressenti exactement la même chose.
I felt like I was intruding.	J'eus le sentiment que je m'immisçais.
I felt like I was intruding.	J'ai eu l'impression que je m'immisçais.
I felt like I was intruding.	J'eus le sentiment que je dérangeais.
I felt like I was intruding.	J'ai eu l'impression que je dérangeais.
I figured I'd find you here.	Je me suis imaginé que je vous trouverais ici.
I figured I'd find you here.	Je me suis imaginée que je vous trouverais ici.
I figured I'd find you here.	Je me suis imaginé que je te trouverais ici.
I figured I'd find you here.	Je me suis imaginée que je te trouverais ici.
I figured I'd find you here.	J'ai songé que je te trouverais ici.
I figured I'd find you here.	J'ai songé que je vous trouverais ici.
I figured I'd find you here.	J'ai songé que je te trouverais là.
I figured I'd find you here.	J'ai songé que je vous trouverais là.
I figured I'd find you here.	Je me suis imaginée que je te trouverais là.
I figured I'd find you here.	Je me suis imaginé que je te trouverais là.
I figured I'd find you here.	Je me suis imaginée que je vous trouverais là.
I figured I'd find you here.	Je me suis imaginé que je vous trouverais là.
I figured you wouldn't come.	J'imaginais que vous ne viendriez pas.
I figured you wouldn't come.	J'imaginais que tu ne viendrais pas.
I finished my lunch quickly.	J'ai rapidement terminé mon déjeuner.
I finished reading the book.	J'ai fini de lire ce livre.
I forgot the key to my room.	J’ai oublié ma clef de chambre.
I forgot to lock the drawer.	J'ai oublié de fermer le tiroir à clé.
I forgot you were listening.	J'ai oublié que tu étais en train d'écouter.
I forgot you were listening.	J'ai oublié que vous étiez en train d'écouter.
I found the food too greasy.	J'ai trouvé la nourriture trop grasse.
I found this under your bed.	J'ai trouvé ça sous ton lit.
I found this under your bed.	J'ai trouvé ceci sous ton lit.
I found this under your bed.	J'ai trouvé ceci sous votre lit.
I gave him what money I had.	Je lui donnai tout l'argent dont je disposais.
I gave it to the little boy.	Je l'ai donné à ce petit garçon.
I gave my father a silk tie.	J'ai donné à mon père une cravate en soie.
I gave way to their demands.	Je cédai à leurs exigences.
I get a haircut every month.	Je me fais couper les cheveux tous les mois.
I get dizzy when I stand up.	Je suis pris de vertige lorsque je me lève.
I get dizzy when I stand up.	Je suis pris de vertige lorsque je me redresse.
I get dizzy when I stand up.	Je suis prise de vertige lorsque je me lève.
I get dizzy when I stand up.	Je suis prise de vertige lorsque je me redresse.
I get hives when I eat eggs.	Je fais de l'urticaire lorsque je consomme des œufs.
I get hives when I eat eggs.	Je fais de l'urticaire lorsque je mange des œufs.
I go shopping every morning.	Je vais faire les courses tous les matins.
I go shopping every morning.	Tous les matins je vais faire des courses.
I go to church every Sunday.	Je vais à l'église chaque dimanche.
I got a shave and a haircut.	Je me suis fait raser et coiffer.
I got caught in a rainstorm.	J'ai été pris dans une tempête de pluie.
I got my hair cut yesterday.	Je me suis fait couper les cheveux hier.
I got the pears for nothing.	J'ai eu les poires gratis.
I got this bicycle for free.	J'ai eu ce vélo pour rien.
I got up earlier than usual.	Je me suis levé plus tôt que d'habitude.
I got up early this morning.	Je me suis levé tôt ce matin.
I got your letter yesterday.	J'ai reçu ta lettre hier.
I grew these carrots myself.	J'ai fait moi-même pousser ces carottes.
I grew these carrots myself.	J'ai moi-même fait pousser ces carottes.
I guess I just don't get it.	Je suppose que je n'y comprends rien.
I guess I'd better be going.	Je suppose que je ferais mieux d'y aller.
I guess I'd better be going.	Je suppose que je ferais mieux de m'en aller.
I guess I'd better be going.	Je suppose que je ferais mieux de me mettre en route.
I guess that's good for you.	Je suppose que c'est bon pour toi.
I guess that's good for you.	Je suppose que c'est bon pour vous.
I guess that's the solution.	Je suppose que c'est la solution.
I guess we should leave now.	Je crois que nous devrions partir à présent.
I had a good opinion of her.	J'avais une bonne opinion d'elle.
I had a good time yesterday.	Je me suis bien amusé hier.
I had a phone call from him.	J'ai eu un appel téléphonique de sa part.
I had a problem with my car.	J'ai eu un problème avec ma voiture.
I had a terrible experience.	J'ai traversé une épreuve terrible.
I had a toothache yesterday.	Hier j'avais mal aux dents.
I had an amazing experience.	J'ai fait une expérience incroyable.
I had an amazing experience.	Il m'est arrivé quelque chose d'incroyable.
I had intended to go abroad.	J'eus l'intention de me rendre à l'étranger.
I had intended to go abroad.	J'avais eu l'intention de me rendre à l'étranger.
I had my thumbnail torn off.	Mon ongle de pouce s'est cassé.
I had never seen him before.	Je ne l'avais jamais vu auparavant.
I had no choice but to come.	Je n'avais d'autre choix que de venir.
I had no choice but to stay.	Je n'avais d'autre choix que de rester.
I had no idea you'd be here.	Je n'avais pas idée que vous seriez ici.
I had no idea you'd be here.	Je n'avais pas idée que tu serais ici.
I had no idea you'd be here.	Je n'avais pas idée que vous vous trouveriez ici.
I had no idea you'd be here.	Je n'avais pas idée que tu te trouverais ici.
I had no right to interfere.	Je n'avais aucun droit d'interférer.
I had nothing to do with it.	Je n'avais rien à y faire.
I had nothing to do with it.	Je n'avais rien à y voir.
I had things to think about.	J'ai eu des choses à penser.
I had to call off the party.	J'ai dû annuler la fête.
I had to call off the party.	J'ai dû remettre la fête.
I had to get away from here.	Il m'a fallu sortir d'ici.
I had to get away from here.	Il m'a fallu m'extirper d'ici.
I had to get away from here.	J'ai dû sortir d'ici.
I had to get away from here.	J'ai dû m'extirper d'ici.
I had to get away from here.	J'ai dû me tailler d'ici.
I had to get away from here.	Il m'a fallu me tailler d'ici.
I had to go there yesterday.	J'ai dû y aller hier.
I had to go to the hospital.	J'ai dû aller à l'hôpital.
I hadn't thought about that.	Je n'y avais pas pensé.
I hadn't thought about that.	Je n'y avais pas songé.
I hardly ever go to museums.	Je ne vais quasiment jamais dans des musées.
I hate fluorescent lighting.	J'ai horreur de l'éclairage fluorescent.
I hate seeing you like this.	Je déteste te voir ainsi.
I hate seeing you like this.	Je déteste vous voir ainsi.
I hate to see you like this.	Je déteste te voir ainsi.
I hate to see you like this.	Je déteste vous voir ainsi.
I have 1,500 head of cattle.	J'ai quinze-cents têtes de bétail.
I have a bad headache today.	J'ai un terrible mal de tête aujourd'hui.
I have a ringing in my ears.	Mon oreille bourdonne.
I have a slight fever today.	J'ai un peu de fièvre aujourd'hui.
I have a terrible toothache.	J'ai un mal de dents atroce.
I have already done my work.	J'ai déjà effectué mon travail.
I have an important meeting.	J'ai une réunion importante.
I have an important meeting.	J'ai une importante réunion.
I have been honest with him.	J'ai été honnête avec lui.
I have been looking for you.	Je t'ai cherché.
I have been looking for you.	Je vous cherchais.
I have been to London twice.	J'ai été à Londres deux fois.
I have been to the barber's.	J'ai été chez le barbier.
I have completely recovered.	Je me suis complètement rétabli.
I have completely recovered.	Je me suis complètement rétablie.
I have difficulty breathing.	C'est difficile de respirer.
I have fewer books than you.	J'ai moins de livres que toi.
I have fewer books than you.	J'ai moins de livres que vous.
I have fewer books than you.	Je détiens moins de livres que toi.
I have fewer books than you.	Je détiens moins de livres que vous.
I have fulfilled my promise.	J'ai tenu parole.
I have lost face completely.	J'ai complètement perdu la face.
I have lots of things to do.	J'ai beaucoup de choses à faire.
I have never been to Europe.	Je n'ai jamais été en Europe.
I have never read that book.	Je n'ai jamais lu ce livre.
I have no funds in the bank.	Je n'ai pas de fonds à la banque.
I have no further questions.	Je n'ai pas d'autres questions.
I have no further questions.	Je n'ai plus de questions.
I have no home to return to.	Je n'ai guère de maison à laquelle retourner.
I have no home to return to.	Je n'ai pas de maison à laquelle rentrer.
I have no idea how it works.	Je n'ai aucune idée de comment ça fonctionne.
I have no idea how it works.	Je n'ai aucune idée de comment ça marche.
I have no idea where we are.	Je n'ai aucune idée d'où nous sommes.
I have no idea where we are.	Je n'ai aucune idée d'où nous nous trouvons.
I have no idea why it is so.	Je n'ai aucune idée pourquoi il en est ainsi.
I have no idea why it is so.	Je n'ai aucune idée de pourquoi il en est ainsi.
I have no idea why it is so.	Je n'ai aucune idée pourquoi c'est ainsi.
I have no idea why it is so.	Je n'ai aucune idée de pourquoi c'est ainsi.
I have no objection to that.	Je n'y vois pas d'objection.
I have no problem with this.	Je n'ai pas de problème avec ça.
I have nothing better to do.	Je n'ai rien de mieux à faire.
I have nothing else to wear.	Je n'ai rien d'autre à mettre.
I have nothing left to lose.	Je n'ai rien d'autre à perdre.
I have read the book before.	J'ai déjà lu ce livre avant.
I have read the book before.	J'ai lu le livre auparavant.
I have read the book before.	J'ai lu ce livre auparavant.
I have seen the film before.	J'ai déjà vu le film auparavant.
I have several silver coins.	Je possède plusieurs pièces d'argent.
I have something to ask Tom.	J'ai quelque chose à demander à Tom.
I have three tickets for it.	J'ai trois places.
I have to admit I'm curious.	Je dois admettre que je suis curieux.
I have to admit I'm curious.	Je dois admettre que je suis curieuse.
I have to answer his letter.	Je dois répondre à sa lettre.
I have to borrow some money.	Il faut que j'emprunte de l'argent.
I have to borrow some money.	Il me faut emprunter de l'argent.
I have to borrow some money.	Je dois emprunter de l'argent.
I have to decide what to do.	Il faut que je décide quoi faire.
I have to talk to you alone.	Je dois vous parler seul à seul.
I have to talk to you alone.	Je dois vous parler seule à seul.
I have to talk to you alone.	Je dois vous parler seule à seule.
I have to talk to you alone.	Je dois vous parler seul à seule.
I have to talk to you alone.	Je dois vous parler seul à seuls.
I have to talk to you alone.	Je dois vous parler seul à seules.
I have to talk to you alone.	Je dois vous parler seule à seuls.
I have to talk to you alone.	Je dois vous parler seule à seules.
I have to talk to you alone.	Je dois te parler seule à seul.
I have to talk to you alone.	Je dois te parler seule à seule.
I have to talk to you alone.	Je dois te parler seul à seul.
I have to talk to you alone.	Je dois te parler seul à seule.
I have to talk to you alone.	Je dois te parler en tête à tête.
I have to talk to you alone.	Je dois vous parler en tête à tête.
I haven't done this in ages.	Je n'ai pas fait ça depuis des lustres.
I haven't finished my lunch.	Je n'ai pas fini mon déjeuner.
I haven't seen her for ages.	Je ne l'ai pas vue depuis une éternité.
I haven't seen you for ages.	Ça fait un bail...
I haven't seen you for ages.	Je ne t'ai pas vu depuis une éternité.
I haven't seen you for ages.	Je ne t'ai pas vu depuis des lustres.
I haven't seen you in weeks.	Je ne t'ai pas vu depuis des semaines.
I haven't seen you in weeks.	Je ne vous ai pas vue depuis des semaines.
I haven't seen you in weeks.	Je ne t'ai pas vue depuis des semaines.
I haven't seen you in weeks.	Je ne vous ai pas vues depuis des semaines.
I haven't seen you in weeks.	Je ne vous ai pas vu depuis des semaines.
I haven't seen you in weeks.	Je ne vous ai pas vus depuis des semaines.
I haven't talked to Tom yet.	Je n'ai pas encore parlé avec Tom.
I haven't the foggiest idea.	Je n'en ai pas la moindre idée.
I haven't told Tom anything.	Je n'ai rien dit à Tom.
I heard a knock at the door.	J'ai entendu frapper à la porte.
I heard about your problems.	J'ai entendu parler de vos problèmes.
I heard about your problems.	J'ai entendu parler de tes problèmes.
I heard everything you said.	J'ai entendu tout ce que vous avez dit.
I heard everything you said.	J'ai entendu tout ce que tu as dit.
I heard from him last month.	J'ai entendu parler de lui le mois dernier.
I heard the front door slam.	J'ai entendu la porte d'entrée claquer.
I heard the leaves rustling.	J'entendis bruire les feuilles.
I heard you switched majors.	On m'a dit que tu avais changé de spécialité.
I heard you switched majors.	J'ai entendu dire que vous aviez changé de spécialisation.
I held my breath and waited.	Je retins ma respiration et attendis.
I helped Tom do some chores.	J'ai aidé Tom à faire quelques corvées.
I helped him carry his desk.	Je l'ai aidé à porter le bureau.
I hid it under the mattress.	Je l'ai caché sous le matelas.
I hid it under the mattress.	Je l'ai cachée sous le matelas.
I hope I'm not interrupting.	J'espère que je ne vous interromps pas.
I hope everything went well.	J'espère que tout s'est bien passé.
I hope everything went well.	J'espère que tout s'est bien déroulé.
I hope everything works out.	J'espère juste que tout se passera bien.
I hope it wasn't too boring.	J'espère que ce n'était pas trop ennuyeux.
I hope that he will help me.	J'espère qu'il m'aidera.
I hope that he will succeed.	J'espère qu'il va réussir.
I hope you enjoyed the show.	J'espère que vous avez pris plaisir au spectacle.
I hope you enjoyed the show.	J'espère que tu as pris plaisir au spectacle.
I hope you have a good time!	J'espère que vous passez du bon temps !
I hope you have a good time!	J'espère que tu passes du bon temps !
I hope you have a good trip.	Bon voyage !
I hope you have a good trip.	Je vous souhaite un bon voyage.
I hope you have a good trip.	Je te souhaite un bon voyage.
I hope you'll get well soon.	J'espère que vous irez bien bientôt.
I intended to start at once.	J'avais l'intention de partir sur-le-champ.
I invited them to the party.	Je les ai invités à la fête.
I invited them to the party.	Je les ai invitées à la fête.
I just couldn't help myself.	Je n'ai simplement pas pu m'en empêcher.
I just don't fit in anymore.	Je ne m'intègre simplement plus.
I just don't fit in anymore.	Je ne conviens simplement plus.
I just don't understand you.	Je ne vous comprends tout simplement pas.
I just don't understand you.	Je ne vous comprends pas, un point c'est tout.
I just don't understand you.	Je ne te comprends tout simplement pas.
I just don't understand you.	Je ne te comprends pas, un point c'est tout.
I just have a few questions.	Je n'ai que quelques questions.
I just have to do something.	Il me faut simplement faire quelque chose.
I just have to do something.	Il me faut faire quelque chose, un point c'est tout.
I just haven't had a chance.	Je n'en ai simplement pas eu l'occasion.
I just keep finding excuses.	Je ne fais que trouver des excuses.
I just keep finding excuses.	Quant à moi, je ne fais que trouver des excuses.
I just keep finding excuses.	C'est moi qui ne fais que trouver des excuses.
I just love beautiful women.	J'adore tout simplement les belles femmes.
I just love beautiful women.	J'adore les belles femmes, un point c'est tout.
I just received your letter.	Je viens de recevoir ta lettre.
I just received your letter.	Je viens de recevoir votre lettre.
I just want this to be over.	Je veux juste que ça s'arrête.
I just want to be different.	Je veux simplement être différent.
I just want to be different.	Je veux simplement être différente.
I just want to go to heaven.	Je veux simplement aller au paradis.
I just want to go to school.	Je veux juste aller à l'école.
I just want to talk to them.	Je veux simplement leur parler.
I just want you to be happy.	Je veux juste que tu sois heureux.
I just want you to be happy.	Je veux juste que vous soyez heureux.
I just want you to be happy.	Je veux simplement que tu sois heureuse.
I just want you to be happy.	Je veux simplement que vous soyez heureuse.
I just want you to be happy.	Je veux simplement que vous soyez heureuses.
I just wanted clarification.	Je voulais simplement une clarification.
I just wanted to be popular.	J'essayais juste de plaire.
I just wanted to go jogging.	Je voulais juste aller courir.
I just wanted to play poker.	Je voulais juste jouer au poker.
I just wanted to say thanks.	Je voulais juste vous dire merci.
I just wanted to say thanks.	Je voulais juste te dire merci.
I knew Tom would forgive me.	Je savais que Tom me pardonnerait.
I knew you could do it, Tom.	Je savais que vous pouviez le faire, Tom.
I knew you'd mess things up.	Je savais que vous sèmeriez la pagaille.
I knew you'd mess things up.	Je savais que tu gâcherais les choses.
I know I probably won't win.	Je sais que je ne gagnerai probablement pas.
I know Tom doesn't love you.	Je sais que Tom ne t'aime pas.
I know Tom was disappointed.	Je sais que Tom était déçu.
I know exactly how you feel.	Je sais exactement ce que tu ressens.
I know exactly how you feel.	Je sais exactement ce que vous ressentez.
I know how busy you've been.	Je sais combien vous avez été occupé.
I know how busy you've been.	Je sais combien vous avez été occupée.
I know how busy you've been.	Je sais combien vous avez été occupées.
I know how busy you've been.	Je sais combien vous avez été occupés.
I know how busy you've been.	Je sais combien tu as été occupée.
I know how busy you've been.	Je sais combien tu as été occupé.
I know something's going on.	Je sais que quelque chose se passe.
I know something's going on.	Je sais que quelque chose se produit.
I know we're a little early.	Je sais que nous sommes un peu en avance.
I know we're a little early.	Je sais que nous sommes un petit peu en avance.
I know what can happen here.	Je sais ce qu'il peut se passer ici.
I know what happened to Tom.	Je sais ce qu'il est arrivé à Tom.
I know what may happen here.	Je sais ce qu'il pourrait se passer ici.
I know what you're thinking.	Je sais ce que tu penses.
I know what you're thinking.	Je sais ce que vous pensez.
I know where the blame goes.	Je sais à qui en revient la faute.
I know where we can get one.	Je sais où nous pouvons nous en procurer un.
I know where we can get one.	Je sais où nous pouvons nous en procurer une.
I know you recently retired.	Je sais que tu es parti en retraite il y a peu.
I know you recently retired.	Je sais que tu es partie en retraite il y a peu.
I know you recently retired.	Je sais que vous êtes parti en retraite il y a peu.
I know you recently retired.	Je sais que vous êtes partie en retraite il y a peu.
I know you think I'm stupid.	Je sais que tu penses que je suis stupide.
I know you want to help him.	Je sais que tu veux l'aider.
I know you want to help him.	Je sais que vous voulez l'aider.
I know you're angry with me.	Je sais que tu m'en veux.
I know you're not like that.	Je sais que vous n'êtes pas comme ça.
I know you're not like that.	Je sais que tu n'es pas comme ça.
I learned a valuable lesson.	J'ai pris une précieuse leçon.
I learned a valuable lesson.	Je pris une précieuse leçon.
I left my keys on the table.	J'ai laissé mes clés sur la table.
I like hanging out with you.	J'aime être en ta compagnie.
I like hanging out with you.	J'aime être en votre compagnie.
I like hanging out with you.	J'aime être avec vous.
I like her sister very much.	J'aime beaucoup sa sœur.
I like it when it's snowing.	J'aime qu'il neige.
